Symbol,Description
AUGB.F,First Trst CBOE Vest US Eqty Buffer ETF
AUMN,Golden Minerals Company
AVCN,Avicanna Inc
AVL,Avalon Advanced Materials Inc
AVNT,Avant Brands Inc
AVNT.WT,Avant Brands Inc WT
AW.UN,A&W Revenue Royalties Income Fund
AX.PR.E,Artis REIT Pref Ser E
AX.PR.I,Artis REIT Pref Series I
AX.UN,Artis Real Estate Investment Trust Units
AXIS,Axis Auto Finance Inc
AYA,Aya Gold and Silver Inc
BABY,Else Nutrition Holdings Inc
BABY.WT.A,Else Nutrition Holdings Inc.
BAM,Brookfield Asset Management Ltd
BANK,Evolve CDN Banks Lifecos Enh Yld Idx ETF
BASE,Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B,Evolve Glob Matls Mining Enh Yld Unhgd
BB,Blackberry Ltd
BBD.A,Bombardier Inc Cl A Mv
BBD.B,Bombardier Inc Cl B Sv
BBD.PR.B,Bombardier 2 Pr
BBD.PR.C,Bombardier Inc Pref Class C
BBD.PR.D,Bombardier Inc Pref Ser 3
BBIG,Horizons Global Bbig Technology ETF Clas
BBIG.U,Horizons Global Bbig Tech ETF USD
BBTV,Bbtv Holdings Inc
BBU.UN,Brookfield Business Partners LP
BBUC,Brookfield Business Corporation
BCE,BCE Inc
BCE.PR.A,BCE First Pr Shares Series AA
BCE.PR.B,BCE Inc First Pr Shares Series Ab
BCE.PR.C,BCE Inc Pr Shares Series AC
BCE.PR.D,BCE Inc Pref Shares Series Ad
BCE.PR.E,BCE 1st Pref Shares Series Ae
BCE.PR.F,BCE 1st Pref Shares Series Af
BCE.PR.G,BCE 1st Pref Shares Series Ag
BCE.PR.H,BCE 1st Pref Shares Series Ah
BCE.PR.I,BCE 1st Pref Shares Series Ai
BCE.PR.J,BCE Inc Pref Sh Series Aj
BCE.PR.K,BCE Inc Pref Ser AK
BCE.PR.L,BCE Inc Pref Ser AL
BCE.PR.M,BCE Inc Pref Shares Series Am
BCE.PR.N,BCE Inc Pref Shares Series An
BCE.PR.Q,BCE Inc Pref Shares Series Aq
BCE.PR.R,BCE Inc Ser R
BCE.PR.S,BCE Inc Ser S
BCE.PR.T,BCE Inc First Pref Series T
BCE.PR.Y,BCE Inc Ser Y Pr
BCE.PR.Z,BCE Inc Series Z
BCT,Briacell Therapeutics Corp
BDEQ,Black Diamond Global Equity Fund ETF
BDGI,Badger Infrastructure Solutions Ltd
BDI,Black Diamond Group Ltd
BDIV,Brompton Global Dividend Growth ETF
BDT,Bird Construction Inc
BEI.UN,Boardwalk Real Estate Investment Trust
BEK.B,Becker Milk Company Ltd Cl B NV
BEP.PR.G,Brookfield Renewable LP Pref Ser 7
BEP.PR.M,Brookfield Renewable LP Pref Ser 13
BEP.PR.O,Brookfield Renewable Partners L.P.
BEP.PR.R,Brookfield Renewable Partners LP
BEP.UN,Brookfield Renewable Partners LP
BEPC,Brookfield Renewable Corp
BEPR,Brompton Flaherty & Crumrine Enhanced IN
BEPR.U,Brompton Flaherty Crumine Enh Pr ETF USD
BESG,Invesco ESG CDN Core Plus Bond ETF
BFIN,Brompton Na Financials Dividend ETF
BGC,Bristol Gate Concentrated CDN Eqty ETF
BGI.UN,Brookfield Glbl Infras Sec Inc Fd
BGU,Bristol Gate Concentrated US Eqty ETF
BGU.U,Bristol Gate Conc US Eqty ETF USD
BHC,Bausch Health Companies Inc
BIK.PR.A,Bip Investment Corp Pref Ser 1
BIP.PR.A,Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B,Brookfield Infra Partners LP Pref Ser 3
BIP.PR.E,Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F,Brookfield Infra Partners LP Pref Ser 11
BIP.UN,Brookfield Infra Partners LP Units
BIPC,Brookfield Infrastructure Corp
BIR,Birchcliff Energy Ltd
BITF,Bitfarms Ltd
BITI,Betapro Inverse Bitcoin ETF
BITI.U,Betapro Inverse Bitcoin ETF USD
BK,Canadian Banc Corp
BK.PR.A,Canadian Banc Corp Pref A
BKCC,Horizons Eql WT CDN Bank Cvrd Call ETF
BKCL,Horizons Enhnc Eql Wght CDN Bnk Cvcl ETF
BKI,Black Iron Inc
BLB.UN,Bloom Select Income Fund
BLCK,First Trust Indxx Innov Trans Proc ETF
BLCO,Bausch Lomb Corporation
BLDP,Ballard Power Systems Inc
BLN,Blackline Safety Corp
BLOV,Brompton Na Low Volatility Dividend ETF
BLX,Boralex Inc
BMAX,Brompton Enhanced Multi Asset Income ETF
BMO,Bank of Montreal
BMO.PR.E,BMO Pref Shares Series 44
BMO.PR.F,BMO Pref Shares Series 46
BMO.PR.S,BMO Cl B Pref Shares Ser 27
BMO.PR.T,BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W,BMO Cl B Pref Shares Ser 31
BMO.PR.Y,Bank of Montreal Pref Ser 33
BN,Brookfield Corporation
BN.PF.A,Brookfield Corporation Pref Ser 32
BN.PF.B,Brookfield Corporation Pref Ser 34
BN.PF.C,Brookfield Corporation Pref Ser 36
BN.PF.D,Brookfield Corporation Pref Ser 37
BN.PF.E,Brookfield Corporation Pref Ser 38
BN.PF.F,Brookfield Corporation Pref Ser 40
BN.PF.G,Brookfield Corporation Pref Ser 42
BN.PF.H,Brookfield Corporation Pref Ser 44
BN.PF.I,Brookfield Corporation Pref Ser 46
BN.PF.J,Brookfield Corporation Pref Ser 48
BN.PF.K,Brookfield Corporation Pref Ser 51
BN.PF.L,Brookfield Corporation Pref Ser 52
BN.PR.B,Brookfield Corporation Pref Ser 2
BN.PR.C,Brookfield Corporation Pref Ser 4
BN.PR.K,Brookfield Corporation Pref Ser 13
BN.PR.M,Brookfield Corporation Pref Ser 17
BN.PR.N,Brookfield Corporation Pref Ser 18
BN.PR.R,Brookfield Corporation Pref Ser 24
BN.PR.T,Brookfield Corporation Pref Ser 26
BN.PR.X,Brookfield Corporation Pref Ser 28
BN.PR.Z,Brookfield Corporation Pref Ser 30
BNC,Purpose CDN Financial Income Fund ETF
BND,Purpose Tactical Inv Grade Bond ETF
BNE,Bonterra Energy Corp
BNG,Bengal Energy Ltd
BNK,Big Banc Split Corp Cl A
BNK.PR.A,Big Banc Split Corp
BNKL,Horizons Enhnced Eql Wght Banks Idx ETF
BNRE,Brookfield Reinsurance Ltd. Class A
BNRE.A,Brookfield Reinsurance Ltd. Class A-1
BNS,Bank of Nova Scotia
BNS.PR.I,Bns Preferred Shares Series 40
BOND,Evolve Enhanced Yield Bond Fund ETF
BOS,Airboss America J
BPF.UN,Boston Pizza Royalties Income Fund
BPO.PR.A,Brookfield Office Properties Pref Ser AA
BPO.PR.C,Brookfield Office Properties Pref Ser CC
BPO.PR.E,Brookfield Office Properties Pref Ser Ee
BPO.PR.G,Brookfield Office Properties Pref Ser G
BPO.PR.I,Brookfield Office Properties Pref Ser II
BPO.PR.N,Brookfield Office Properties Pref Ser N
BPO.PR.P,Brookfield Office Properties Pref Ser P
BPO.PR.R,Brookfield Office Properties Pref Ser R
BPO.PR.T,Brookfield Office Properties Pref Ser T
BPO.PR.W,Brookfield Office Properties Pref Ser W
BPO.PR.X,Brookfield Office Properties Pref Ser V
BPO.PR.Y,Brookfield Office Properties Pref Ser Y
BPRF,Bf and Crumrine Invest Grade Pref ETF
BPRF.U,Bf and Crumrine Invgrade Pref ETF USD
BPS.PR.A,Brookfield Property Split Pref Ser 2
BPS.PR.B,Brookfield Property Split Pref Ser 3
BPS.PR.C,Brookfield Property Split Pref Ser 4
BPS.PR.U,Brookfield Property Split Pref Ser 1
BPYP.PR.A,Brookfield Property Preferred L.P.
BR,Big Rock Brewery Inc
BRAG,Bragg Gaming Group Inc
BRE,Bridgemarq Real Estate Services Inc
BREA,Brompton Global Real Assets Dividend ETF
BRF.PR.A,Brookfield Renewable Pref Cl A Ser 1
BRF.PR.B,Brookfield Renewable Pref Cl A Ser 2
BRF.PR.C,Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E,Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F,Brookfield Renewable Power Pref Eqt Sr 6
BRMI,Boat Rocker Media Inc
BRY,Bri Chem Corp
BSKT,Manulife Smart Core Bond ETF
BSX,Belo Sun Mining Corp
BTB.DB.G,Btb REIT 6.0 Pct Debs
BTB.DB.H,Btb REIT 7.00 Pct Debs
BTB.UN,Btb REIT Units
BTCC,Purpose Bitcoin ETF Currency Hgd
BTCC.B,Purpose Bitcoin ETF [Cad ETF Non-Currenc
BTCC.J,Purpose Bitcoin Carbon Offset ETF
BTCC.U,Purpose Bitcoin ETF [Usd ETF Non-Currenc
BTCQ,3iQ Coinshares Bitcoin ETF
BTCQ.U,3iQ Coinshares Bitcoin ETF USD
BTCX.B,CI Galaxy Bitcoin ETF
BTCX.U,CI Galaxy Bitcoin ETF USD
BTCY,Purpose Bitcoin Yield ETF
BTCY.B,Purpose Bitcoin Yield ETF
BTCY.U,Purpose Bitcoin Yield ETF USD
BTE,Baytex Energy Corp
BTO,B2Gold Corp
BU,Burcon Nutrascience Corp
BUI,Buhler Ind
BXF,CI 1 To 5 Yr Lad Gov Stp Bd ETF
BYD,Boyd Group Services Inc
BYL,Baylin Technologies Inc
BYL.DB,Baylin Technologies Inc 6.5 Pct Debs
BYL.RT,Baylin Technologies Inc. Rights
CACB,CIBC Active Invst Grade Corp Bond ETF
CAE,Cae Inc
CAFR,CIBC Act Invst Grade Float Rate Bond ETF
CAGG,CI Yield Enh CDN Agrt Bond ETF
CAGS,CI Yld Enh CDN ST Agg Bd Idx ETF
CALL,Evolve US Banks Enhanced Yield ETF
CALL.B,Evolve US Banks Enhanced Yield Unheg
CALL.U,Evolve US Banks Enhanced Yld Fd ETF USD
CANL,Horizons Enhanced SP TSX 60 Index ETF
CAR.UN,CDN Apartment Un
CARB,Horizons Carbon Credits ETF
CARS,Evolve Automobile Innovation Idx Hgd ETF
CARS.B,Evolve Automobile Innovation Idx Uh ETF
CARS.U,Evolve Automobile Innovation Idx Fd USD
CAS,Cascades Inc
CASH,Horizons High Interest Savings ETF
CBCX,CI Galaxy Blockchain ETF
CBGR,CI Balanced Growth Asset Allocation ETF
CBH,Ishares 1-10 Yr Laddered Corp Bond ETF
CBIL,Horizons 0 To 3 Month T Bill ETF
CBND,Manulife Smart Corporate Bond ETF
CBNK,Mulvihill Canadian Bank Enhanced Yield E
CBO,Ishares 1-5Yr Laddered Corp Bond ETF
CBUG,CI Digital Security ETF
CCA,Cogeco Communications Inc
CCBI,CIBC Canadian Bond Index ETF
CCEI,CIBC Canadian Equity Index ETF
CCL.A,Ccl Inc Cl A
CCL.B,Ccl Industries Inc Cl B NV
CCM,Canagold Resources Ltd
CCNV,CI Conservative Asset Allocation ETF
CCO,Cameco Corp
CCOM,CI Auspice Broad Commodity ETF
CCOR.B,CI Doubleline Core Plus Fixed Income US$ Fund
CCRE,CIBC Core Fixed Income Pool ETF
CCS.PR.C,Co-Operators Gen Ins Cl E Prf
CDAY,Ceridian Hcm Holdings Inc
CDEF,Manulife Smart Defensive Equity ETF
CDIV,Manulife Smart Dividend ETF
CDLB,CI Doubleline Total Return Bnd US HD ETF
CDLB.B,CI Doubleline Total Return Bnd US Uh ETF
CDLB.U,CI Doubleline Total Retrn Bnd US ETF USD
CDNA,CI Bio Revolution ETF
CDR,Condor Energies Inc
CDZ,Ishares S&P TSX CDN Dividend ETF
CEE,Centamin Plc
CEF,Sprott Physical Gold Silver Trust
CEF.U,Central Fund of Canada Ltd Cl U NV
CEMI,CIBC Emerging Markets Equity Index ETF
CET,Cathedral Energy Services Ltd
CEU,Ces Energy Solutions Corp
CEW,Ishares Equal Weight Banc Lifeco ETF
CF,Canaccord Genuity Group Inc
CF.PR.A,Canaccord Genuity Group Inc Pref A
CF.PR.C,Canaccord Genuity Group Inc Pref C
CFF,Conifex Timber Inc
CFLX,CIBC Flexible Yield ETF Hedged
CFP,Canfor Corp
CFRT,CI Floating Rate Income Fund
CFW,Calfrac Well Services Ltd
CFW.WT,Calfrac Well Services Ltd WT
CFX,Canfor Pulp Products Inc
CG,Centerra Gold Inc
CGAA,CI Glb Asset Allocation ETF
CGBI,CIBC Global Bond Ex Can Idx ETF
CGDV,CI Global Min Downside Vol Index ETF
CGDV.B,CI Global Min Downside Vol Index Uh ETF
CGG,China Gold Int Resources Corp
CGHY,CI Global High Yld Cdt Pvt Pool ETF
CGHY.U,CI Global High Yld Cdt Pvt Pool ETF USD
CGI,CDN General Inv
CGIN,CI Global Investment Grade ETF
CGIN.U,CI Global Investment Grade ETF USD
CGL,Ishares Gold Bullion ETF Hdg
CGL.C,Ishares Gold Bullion ETF Non Hdg
CGLO,CIBC Global Growth ETF
CGO,Cogeco Inc Sv
CGR,Ishares Global Real Estate ETF
CGRB,CI Global Green Bond Fund ETF
CGRE,CI Global REIT Private Pool ETF
CGRN,CI Gbl Susble Infra Fund ETF
CGX,Cineplex Inc
CGX.DB.B,Cineplex Inc Debs
CGXF,CI Gld Giants Cvr Call ETF
CGXF.U,CI Gld Giants Cvr Call ETF USD
CGY,Calian Group Ltd
CHE.DB.E,Chemtrade Logistics If 6.50 Pct Debs
CHE.DB.F,Chemtrade Logistics If 8.50 Pct Debs
CHE.DB.G,Chemtrade Logistics Incme Fund 6.25 Debs
CHE.DB.H,Chemtrade Logistics Incme Fd 7 Pct Debs
CHE.UN,Chemtrade Logistics Income Fund
CHNA.B,CI Icbccs SP China 500 Index ETF NH
CHP.UN,Choice Properties REIT
CHPS,Horizons Global Semiconductor Index ETF
CHPS.U,Horizons Global Semiconductr Idx ETF USD
CHR,Chorus Aviation Inc
CHR.DB.A,Chorus Aviation Inc 5.75 Pct Debs
CHR.DB.B,Chorus Aviation Inc 6.00 Pct Debs
CHR.DB.C,Chorus Aviation Inc 5.75 Pct Debs C
CHW,Chesswood Group Ltd
CIA,Champion Iron Ltd
CIBR,First Trust Nasdaq Cybersecurity ETF
CIC,CI Can Banks Cov Call Income Class ETF
CIEH,CIBC International Equity Index ETF
CIEI,CIBC International Equity Index ETF
CIEM,CI Emerging Markets Alpha ETF
CIEM.U,CI Emerging Markets Alpha Hg ETF USD
CIF,Ishares Global Infrastructure Index ETF
CIGI,Colliers International Group Inc
CINC,CI Doubleline Income US Hdg ETF
CINC.U,CI Doubleline Income US$ Fund
CINF,CI Global Infrastructure Pvt Pool ETF
CINT,CIBC International Equity ETF
CINV,CI Global Alpha Innovation ETF
CIQ.UN,Canadian High Income Equity Fund
CIU.PR.A,Cu Inc Pref Shares
CIU.PR.C,Cu Inc Pref Ser 4
CIX,CI Financial Corp
CJ,Cardinal Energy Ltd
CJR.B,Corus Entertainment Inc Cl B NV
CJT,Cargojet Inc
CJT.DB.D,Cargojet Inc 5.75 Pct Debs
CJT.DB.E,Cargojet Inc 5.75 Pct Debs
CJT.DB.F,Cargojet Inc 5.25 Pct Debs
CKI,Clarke Inc
CLF,Ishares 1-5 Yr Ladder Govt Bond ETF
CLG,Ishares 1-10 Yr Ladder Govt Bond ETF
CLML,CI Global Climate Leaders Fund ETF
CLMT,Purpose Global Climate Opportunities Fun
CLP.UN,International Clean Power Dividend Fund
CLS,Celestica Inc Sv
CM,Canadian Imperial Bank of Commerce
CM.PR.O,CIBC Pref Ser 39
CM.PR.P,CIBC Pref Ser 41
CM.PR.Q,CIBC Pref Ser 43
CM.PR.S,CIBC Pref Series 47
CM.PR.T,CIBC Pref Series 49
CM.PR.Y,CIBC Pref Series 51
CMAG,CI Munro Alt Global Growth Fund
CMAG.U,CI Munro Alt Global Growth Fund USD
CMAR,CI Marret Alt Absolute Return Bond Fund
CMAR.U,CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCX.B,CI Galaxy Multi Crypto ETF
CMCX.U,CI Galaxy Multi Crypto Unhgd ETF USD
CMDO,CI Alternative Diversified Opp ETF
CMDO.U,CI Alternative Diversified Opp ETF USD
CMEY,CI Marret Alternative Enhanced Yield ETF
CMG,Computer Modelling Group Ltd
CMGG,CI Munro Global Gwth Equity Fund ETF CAD
CMGG.U,CI Munro Global Growth Equity Fund
CMNY,CI Money Market ETF
CMR,Ishares Premium Money Market ETF
CMVX,CI Galaxy Metaverse Index ETF
CNAO,CI Alternative Na Opps Fund ETF
CNAO.U,CI Alternative Na Opps Fund ETF USD
CNCC,Horizons CDN Lrg Cap Eqty Cvrd Call ETF
CNCL,Horizons Enhncd CDN Lg Cap Eqt Cvcl ETF
CNE,Canacol Energy Ltd
CNL,Collective Mining Ltd
CNQ,Canadian Natural Resources Ltd.
CNR,Canadian National Railway Co.
CNT,Century Global Commodities Corp
COG,Condor Gold Plc
COMM,BMO Global Communications Index ETF
COPP,Horizons Copper Producers Idx ETF
COW,Ishares Global Agri Index ETF
CP,Canadian Pacific Railway Ltd
CPD,Ishares S&P TSX CDN Pref ETF
CPG,Crescent Point Energy Corp
CPH,Cipher Pharmaceuticals Inc
CPLF,Copperleaf Technologies Inc
CPLS,CIBC Core Plus Fixed Income Pool ETF
CPX,Capital Power Corp
CPX.PR.A,Capital Power Corp Pref Ser 1
CPX.PR.C,Capital Power Corp Pref Ser 3
CPX.PR.E,Capital Power Corp Pref Ser 5
CPX.PR.K,Capital Power Corp Pref Series 11
CPX.R,Capital Power Corporation Sub Receipts
CR,Crew Energy Inc
CRDL,Cardiol Therapeutics Inc
CRED,CI Lawrence Park Alt Invest Grd Crdt ETF
CRED.U,CI Lawrence Park Alt Inv Grd Crt ETF USD
CRON,Cronos Group Inc
CROP,Purpose Credit Opportunities Fund ETF
CROP.U,Purpose Credit Opportunities Fund
CRP,Ceres Global Ag Corp
CRR.UN,Crombie Real Estate Investment Trust
CRRX,Carerx Corp
CRT.UN,CT Real Estate Investment Trust
CRWN,Crown Capital Partners Inc
CRWN.NT,Crown Capital Partners Inc 10 Pct Debs
CS,Capstone Mining Corp
CSAV,CI High Interest Savings ETF
CSBI,CIBC CDN Short Term Bond Index ETF
CSE.PR.A,Capstone Infrastructure Corp Pref A
CSH.UN,Chartwell Retirement Residences
CSU,Constellation Software Inc
CSU.DB,Constellation Software Inc Debs Ser 1
CSW.A,Corby Spirit and Wine Ltd Class A
CSW.B,Corby Spirit and Wine Ltd Class B
CTC,Canadian Tire Corp Ltd
CTC.A,Canadian Tire Corp Cl A NV
CTF.UN,Citadel Income Fund
CTS,Converge Technology Solutions Corp
CTX,Crescita Therapeutics Inc
CU,Canadian Utilities Ltd Cl A NV
CU.PR.C,Canadian Utilities Ltd Pref Ser C
CU.PR.D,Canadian Utilities Ltd Pr Series AA
CU.PR.E,Canadian Utilities Ltd Pref Ser Bb
CU.PR.F,Canadian Utilities Ltd Pref Ser CC
CU.PR.G,Canadian Utilities Ltd Pref Ser Dd
CU.PR.H,Canadian Utilities Ltd Pref Ser Ee
CU.PR.I,Canadian Utilities Ltd Pref Ser Ff
CU.PR.J,Canadian Utilities Cumulative Redeemable Second
CU.X,CDN Util Cl B
CUB,Cubicfarm Systems Corp
CUD,Ishares S&P US Div Growers ETF
CUDV,CI U.S. Minimum Downside Volatility Index ETF
CUEH,CIBC US Equity Index ETF
CUEI,CIBC US Equity Index ETF
CUP.U,Caribbean Util US
CUTL,CI Utilities Giants Covered Call ETF
CUTL.B,CI Utilities Giants Covered Call ETF Uh
CVD,Ishares Convertible Bond Index ETF
CVE,Cenovus Energy Inc
CVE.PR.A,Cenovus Energy Inc
CVE.PR.B,Cenovus Energy Inc
CVE.PR.C,Cenovus Energy Inc
CVE.PR.E,Cenovus Energy Inc
CVE.PR.G,Cenovus Energy Inc
CVE.WT,Cenovus Energy Inc WT
CVG,Clairvest Group
CVO,Coveo Solutions Inc
CWB,CDN Western Bank
CWB.PR.B,Canadian Western Bank Pref Ser 5
CWB.PR.D,Canadian Western Bank Pref Series 9
CWEB,Charlotte's Web Holdings Inc
CWL,Caldwell Partners International Inc
CWW,Ishares S&P Global Water ETF
CXB,Calibre Mining Corp
CXF,CI CDN Convert Bond ETF
CXI,Currency Exchange International Corp
CYB,Cymbria Corp Cl A
CYBR,Evolve Cyber Security Index Hgd ETF
CYBR.B,Evolve Cyber Security Index Uh ETF
CYBR.U,Evolve Cyber Security Index Uh Fund USD
CYH,Ishares Global Monthly Dividend ETF
D.UN,Dream Office REIT
DAMG,Desjardins Alt Long/Short Global Equity Markets
DANC,Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DATA,Evolve Cloud Computing Index Fund Hg ETF
DATA.B,Evolve Cloud Computing Indx Fund Uhg ETF
DBM,Doman Building Materials Group Ltd.
DBO,Dbox Technologies Inc
DC.A,Dundee Corp Cl A Sv
DC.PR.B,Dundee Corp First Pref Ser 2
DC.PR.D,Dundee Corp Pref Ser 3
DCBO,Docebo Inc
DCC,Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCG,Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM,Data Communications Mgmt Corp
DCP,Desjardins CDN Pref Share ETF
DCS,Desjardins CDN Short Term Bd ETF
DCU,Desjardins CDN Universe Bond Index ETF
DF,Dividend 15 Split Corp II
DF.PR.A,Dividend 15 Split Corp II Prf
DFN,Dividend 15 Split Corp
DFN.PR.A,Dividend 15 Split Corp
DFY,Definity Financial Corporation
DGR,CI Wisdomtree US Qty Div Gwth Idx ETF
DGR.B,CI Wisdomtree US Qty Div Gwth Idx ETF NH
DGRC,CI Wisdomtree CDN Qlty Div Grth Idx ETF
DGS,Dividend Growth Split Corp Class A
DGS.PR.A,Dividend Growth Split Corp Pref
DHT.U,Dri Healthcare Trust USD
DHT.UN,Dri Healthcare Trust
DIAM,Star Diamond Corp
DII.A,Dorel Industries Inc Cl A Mv
DII.B,Dorel Industries Inc Cl B Sv
DIR.UN,Dream Industrial REIT
DISC,BMO Glb Consumer Disc Hgd To CAD ETF
DIV,Diversified Royalty Corp
DIV.DB.A,Diversified Royalty Corp 6.00 Pct Debs
DIVS,Evolve Active CDN Pref Share ETF
DLCG,Dominion Lending Centres Inc
DLR,Horizons US Dollar Currency ETF
DLR.U,Horizons US Dollar Currency ETF USD
DML,Denison Mines Corp
DN,Delta 9 Cannabis Inc
DND,Dye & Durham Ltd
DNG,Dynacor Gold Mines Inc
DNTL,Dentalcorp Holdings Ltd
DOL,Dollarama Inc
DOO,Brp Inc
DPM,Dundee Precious Metals Inc
DQD,CI Wisdomtree Y.S. Qlty Divd Gwth Var Hgd ETF
DQI,CI Wisdomtree Intl Qlty Div Gwth Var Hgd ETF
DR,Medical Facilities Corp
DRCU,Desjardins RI Active Canadian Bond-Low C
DRFC,Desjardins RI Cda Multi Low Co2 ETF
DRFD,Desjardins RI Dev Ex USA Ex Cda Co2 ETF
DRFE,Desjardins Emerging Mkts Low Co2 ETF
DRFG,Desjardins Gbl Fossil Fuel Res Free ETF
DRFU,Desjardins RI USA Multi Low Co2 ETF
DRM,Dream Unlimited Corp
DRMC,Desjardins RI Canada-Low Co2 Index ETF
DRMD,Desjardins RI Dev Exusa Exca Low Co2 ETF
DRME,Desjardins RI Emrgng Mkt Low Co2 Idx ETF
DRMU,Desjardins RI USA Low Co2 Index ETF
DRR.U,Dream Residential Real Estate Investment
DRR.UN,Dream Residential REIT
DRT,Dirtt Environmental Solutions Ltd
DRT.DB,Dirtt Environmental Solns Ltd 6 Pct Debs
DRT.DB.A,Dirtt Enviro Solutions Ltd 6.25 Pct Debs
DRX,Adf Group Inc Sv
DS,Dividend Select 15 Corp
DSG,Descartes Sys
DSV,Discovery Silver Corp
DTOL,D2L Inc
DXB,Dynamic Ishares Act Tactical Bond ETF
DXBC,Dynamic Active Canadian Bond ETF
DXBU,Dynamic Active U.S. Investment Grade Corporate B
